team,date,competition,opponent,venue,result,gf,ga,is_friendly
Senegal,2023-11-21,FIFA World Cup qualification,Togo,away,D,0,0,False
South Africa,2023-11-21,FIFA World Cup qualification,Rwanda,away,L,0,2,False
South Korea,2023-11-21,FIFA World Cup qualification,China PR,away,W,3,0,False
Switzerland,2023-11-21,UEFA Euro qualification,Romania,away,L,0,1,False
Syria,2023-11-21,FIFA World Cup qualification,Japan,neutral,L,0,5,False
Tanzania,2023-11-21,FIFA World Cup qualification,Morocco,home,L,0,2,False
Togo,2023-11-21,FIFA World Cup qualification,Senegal,home,D,0,0,False
Tunisia,2023-11-21,FIFA World Cup qualification,Malawi,away,W,1,0,False
Turkey,2023-11-21,UEFA Euro qualification,Wales,away,D,1,1,False
Uruguay,2023-11-21,FIFA World Cup qualification,Bolivia,home,W,3,0,False
Uzbekistan,2023-11-21,FIFA World Cup qualification,Iran,home,D,2,2,False
Vietnam,2023-11-21,FIFA World Cup qualification,Iraq,home,L,0,1,False
Wales,2023-11-21,UEFA Euro qualification,Turkey,home,D,1,1,False
Colombia,2023-12-16,Friendly,Mexico,neutral,W,3,2,True
Mexico,2023-12-16,Friendly,Colombia,neutral,L,2,3,True
Japan,2024-01-01,Friendly,Thailand,home,W,5,0,True
Thailand,2024-01-01,Friendly,Japan,away,L,0,5,True
Lebanon,2024-01-04,Friendly,Saudi Arabia,neutral,L,0,1,True
Saudi Arabia,2024-01-04,Friendly,Lebanon,neutral,W,1,0,True
Algeria,2024-01-05,Friendly,Togo,away,W,3,0,True
Burkina Faso,2024-01-05,Friendly,Iran,away,L,1,2,True
Iran,2024-01-05,Friendly,Burkina Faso,home,W,2,1,True
Jordan,2024-01-05,Friendly,Qatar,away,W,2,1,True
Qatar,2024-01-05,Friendly,Jordan,home,L,1,2,True
Togo,2024-01-05,Friendly,Algeria,home,L,0,3,True
Angola,2024-01-06,Friendly,DR Congo,neutral,D,0,0,True
Australia,2024-01-06,Friendly,Bahrain,neutral,W,2,0,True
Bahrain,2024-01-06,Friendly,Australia,neutral,L,0,2,True
DR Congo,2024-01-06,Friendly,Angola,neutral,D,0,0,True
Iraq,2024-01-06,Friendly,South Korea,neutral,L,0,1,True
Ivory Coast,2024-01-06,Friendly,Sierra Leone,home,W,5,1,True
Mauritania,2024-01-06,Friendly,Tunisia,away,D,0,0,True
Sierra Leone,2024-01-06,Friendly,Ivory Coast,away,L,1,5,True
South Korea,2024-01-06,Friendly,Iraq,neutral,W,1,0,True
Tunisia,2024-01-06,Friendly,Mauritania,home,D,0,0,True
Egypt,2024-01-07,Friendly,Tanzania,home,W,2,0,True
Palestine,2024-01-07,Friendly,Uzbekistan,neutral,L,0,1,True
Tanzania,2024-01-07,Friendly,Egypt,away,L,0,2,True
Uzbekistan,2024-01-07,Friendly,Palestine,neutral,W,1,0,True
Ghana,2024-01-08,Friendly,Namibia,home,D,0,0,True
Namibia,2024-01-08,Friendly,Ghana,away,D,0,0,True
Niger,2024-01-08,Friendly,Senegal,away,L,0,1,True
Senegal,2024-01-08,Friendly,Niger,home,W,1,0,True
Algeria,2024-01-09,Friendly,Burundi,neutral,W,4,0,True
Burundi,2024-01-09,Friendly,Algeria,neutral,L,0,4,True
Indonesia,2024-01-09,Friendly,Iran,neutral,L,0,5,True
Iran,2024-01-09,Friendly,Indonesia,neutral,W,5,0,True
Japan,2024-01-09,Friendly,Jordan,neutral,W,6,1,True
Jordan,2024-01-09,Friendly,Japan,neutral,L,1,6,True
Palestine,2024-01-09,Friendly,Saudi Arabia,neutral,D,0,0,True
Saudi Arabia,2024-01-09,Friendly,Palestine,neutral,D,0,0,True
Burkina Faso,2024-01-10,Friendly,DR Congo,neutral,W,2,1,True
Cape Verde,2024-01-10,Friendly,Tunisia,away,L,0,2,True
DR Congo,2024-01-10,Friendly,Burkina Faso,neutral,L,1,2,True
Hong Kong,2024-01-10,Friendly,Saudi Arabia,neutral,L,0,2,True
Lesotho,2024-01-10,Friendly,South Africa,away,D,0,0,True
Saudi Arabia,2024-01-10,Friendly,Hong Kong,neutral,W,2,0,True
South Africa,2024-01-10,Friendly,Lesotho,home,D,0,0,True
Tunisia,2024-01-10,Friendly,Cape Verde,home,W,2,0,True
Morocco,2024-01-11,Friendly,Sierra Leone,neutral,W,3,1,True
Sierra Leone,2024-01-11,Friendly,Morocco,neutral,L,1,3,True
Estonia,2024-01-12,Friendly,Sweden,neutral,L,1,2,True
Lebanon,2024-01-12,AFC Asian Cup,Qatar,away,L,0,3,False
Qatar,2024-01-12,AFC Asian Cup,Lebanon,home,W,3,0,False
Sweden,2024-01-12,Friendly,Estonia,neutral,W,2,1,True
Australia,2024-01-13,AFC Asian Cup,India,neutral,W,2,0,False
Guinea-Bissau,2024-01-13,African Cup of Nations,Ivory Coast,away,L,0,2,False
India,2024-01-13,AFC Asian Cup,Australia,neutral,L,0,2,False
Ivory Coast,2024-01-13,African Cup of Nations,Guinea-Bissau,home,W,2,0,False
Syria,2024-01-13,AFC Asian Cup,Uzbekistan,neutral,D,0,0,False
Uzbekistan,2024-01-13,AFC Asian Cup,Syria,neutral,D,0,0,False
Cape Verde,2024-01-14,African Cup of Nations,Ghana,neutral,W,2,1,False
Egypt,2024-01-14,African Cup of Nations,Mozambique,neutral,D,2,2,False
Ghana,2024-01-14,African Cup of Nations,Cape Verde,neutral,L,1,2,False
Iran,2024-01-14,AFC Asian Cup,Palestine,neutral,W,4,1,False
Japan,2024-01-14,AFC Asian Cup,Vietnam,neutral,W,4,2,False
Mozambique,2024-01-14,African Cup of Nations,Egypt,neutral,D,2,2,False
Palestine,2024-01-14,AFC Asian Cup,Iran,neutral,L,1,4,False
Vietnam,2024-01-14,AFC Asian Cup,Japan,neutral,L,2,4,False
Algeria,2024-01-15,African Cup of Nations,Angola,neutral,D,1,1,False
Angola,2024-01-15,African Cup of Nations,Algeria,neutral,D,1,1,False
Bahrain,2024-01-15,AFC Asian Cup,South Korea,neutral,L,1,3,False
Gambia,2024-01-15,African Cup of Nations,Senegal,neutral,L,0,3,False
Indonesia,2024-01-15,AFC Asian Cup,Iraq,neutral,L,1,3,False
Iraq,2024-01-15,AFC Asian Cup,Indonesia,neutral,W,3,1,False
Jordan,2024-01-15,AFC Asian Cup,Malaysia,neutral,W,4,0,False
Malaysia,2024-01-15,AFC Asian Cup,Jordan,neutral,L,0,4,False
Senegal,2024-01-15,African Cup of Nations,Gambia,neutral,W,3,0,False
South Korea,2024-01-15,AFC Asian Cup,Bahrain,neutral,W,3,1,False
Mali,2024-01-16,African Cup of Nations,South Africa,neutral,W,2,0,False
Namibia,2024-01-16,African Cup of Nations,Tunisia,neutral,W,1,0,False
Oman,2024-01-16,AFC Asian Cup,Saudi Arabia,neutral,L,1,2,False
Saudi Arabia,2024-01-16,AFC Asian Cup,Oman,neutral,W,2,1,False
South Africa,2024-01-16,African Cup of Nations,Mali,neutral,L,0,2,False
Tunisia,2024-01-16,African Cup of Nations,Namibia,neutral,L,0,1,False
DR Congo,2024-01-17,African Cup of Nations,Zambia,neutral,D,1,1,False
Morocco,2024-01-17,African Cup of Nations,Tanzania,neutral,W,3,0,False
Qatar,2024-01-17,AFC Asian Cup,Tajikistan,home,W,1,0,False
Tajikistan,2024-01-17,AFC Asian Cup,Qatar,away,L,0,1,False
Tanzania,2024-01-17,African Cup of Nations,Morocco,neutral,L,0,3,False
Zambia,2024-01-17,African Cup of Nations,DR Congo,neutral,D,1,1,False
Australia,2024-01-18,AFC Asian Cup,Syria,neutral,W,1,0,False
Egypt,2024-01-18,African Cup of Nations,Ghana,neutral,D,2,2,False
Ghana,2024-01-18,African Cup of Nations,Egypt,neutral,D,2,2,False
India,2024-01-18,AFC Asian Cup,Uzbekistan,neutral,L,0,3,False
Ivory Coast,2024-01-18,African Cup of Nations,Nigeria,home,L,0,1,False
Nigeria,2024-01-18,African Cup of Nations,Ivory Coast,away,W,1,0,False
Syria,2024-01-18,AFC Asian Cup,Australia,neutral,L,0,1,False
Uzbekistan,2024-01-18,AFC Asian Cup,India,neutral,W,3,0,False
Cameroon,2024-01-19,African Cup of Nations,Senegal,neutral,L,1,3,False
Cape Verde,2024-01-19,African Cup of Nations,Mozambique,neutral,W,3,0,False
Hong Kong,2024-01-19,AFC Asian Cup,Iran,neutral,L,0,1,False
Iran,2024-01-19,AFC Asian Cup,Hong Kong,neutral,W,1,0,False
Iraq,2024-01-19,AFC Asian Cup,Japan,neutral,W,2,1,False
Japan,2024-01-19,AFC Asian Cup,Iraq,neutral,L,1,2,False
Mozambique,2024-01-19,African Cup of Nations,Cape Verde,neutral,L,0,3,False
Senegal,2024-01-19,African Cup of Nations,Cameroon,neutral,W,3,1,False
Algeria,2024-01-20,African Cup of Nations,Burkina Faso,neutral,D,2,2,False
Burkina Faso,2024-01-20,African Cup of Nations,Algeria,neutral,D,2,2,False
Jordan,2024-01-20,AFC Asian Cup,South Korea,neutral,D,2,2,False
Mali,2024-01-20,African Cup of Nations,Tunisia,neutral,D,1,1,False
Slovenia,2024-01-20,Friendly,United States,away,W,1,0,True
South Korea,2024-01-20,AFC Asian Cup,Jordan,neutral,D,2,2,False
Tunisia,2024-01-20,African Cup of Nations,Mali,neutral,D,1,1,False
United States,2024-01-20,Friendly,Slovenia,home,L,0,1,True
DR Congo,2024-01-21,African Cup of Nations,Morocco,neutral,D,1,1,False
Kyrgyzstan,2024-01-21,AFC Asian Cup,Saudi Arabia,neutral,L,0,2,False
Morocco,2024-01-21,African Cup of Nations,DR Congo,neutral,D,1,1,False
Namibia,2024-01-21,African Cup of Nations,South Africa,neutral,L,0,4,False
Saudi Arabia,2024-01-21,AFC Asian Cup,Kyrgyzstan,neutral,W,2,0,False
South Africa,2024-01-21,African Cup of Nations,Namibia,neutral,W,4,0,False
Cape Verde,2024-01-22,African Cup of Nations,Egypt,neutral,D,2,2,False
China PR,2024-01-22,AFC Asian Cup,Qatar,away,L,0,1,False
Egypt,2024-01-22,African Cup of Nations,Cape Verde,neutral,D,2,2,False
Equatorial Guinea,2024-01-22,African Cup of Nations,Ivory Coast,away,W,4,0,False
Ghana,2024-01-22,African Cup of Nations,Mozambique,neutral,D,2,2,False
Ivory Coast,2024-01-22,African Cup of Nations,Equatorial Guinea,home,L,0,4,False
Mozambique,2024-01-22,African Cup of Nations,Ghana,neutral,D,2,2,False
Qatar,2024-01-22,AFC Asian Cup,China PR,home,W,1,0,False
Algeria,2024-01-23,African Cup of Nations,Mauritania,neutral,L,0,1,False
Australia,2024-01-23,AFC Asian Cup,Uzbekistan,neutral,D,1,1,False
Guinea,2024-01-23,African Cup of Nations,Senegal,neutral,L,0,2,False
Iran,2024-01-23,AFC Asian Cup,United Arab Emirates,neutral,W,2,1,False
Mauritania,2024-01-23,African Cup of Nations,Algeria,neutral,W,1,0,False
Senegal,2024-01-23,African Cup of Nations,Guinea,neutral,W,2,0,False
United Arab Emirates,2024-01-23,AFC Asian Cup,Iran,neutral,L,1,2,False
Uzbekistan,2024-01-23,AFC Asian Cup,Australia,neutral,D,1,1,False
DR Congo,2024-01-24,African Cup of Nations,Tanzania,neutral,D,0,0,False
Indonesia,2024-01-24,AFC Asian Cup,Japan,neutral,L,1,3,False
Iraq,2024-01-24,AFC Asian Cup,Vietnam,neutral,W,3,2,False
Japan,2024-01-24,AFC Asian Cup,Indonesia,neutral,W,3,1,False
Morocco,2024-01-24,African Cup of Nations,Zambia,neutral,W,1,0,False
South Africa,2024-01-24,African Cup of Nations,Tunisia,neutral,D,0,0,False
Tanzania,2024-01-24,African Cup of Nations,DR Congo,neutral,D,0,0,False
Tunisia,2024-01-24,African Cup of Nations,South Africa,neutral,D,0,0,False
Vietnam,2024-01-24,AFC Asian Cup,Iraq,neutral,L,2,3,False
Zambia,2024-01-24,African Cup of Nations,Morocco,neutral,L,0,1,False
Bahrain,2024-01-25,AFC Asian Cup,Jordan,neutral,W,1,0,False
Jordan,2024-01-25,AFC Asian Cup,Bahrain,neutral,L,0,1,False
Malaysia,2024-01-25,AFC Asian Cup,South Korea,neutral,D,3,3,False
Saudi Arabia,2024-01-25,AFC Asian Cup,Thailand,neutral,D,0,0,False
South Korea,2024-01-25,AFC Asian Cup,Malaysia,neutral,D,3,3,False
Thailand,2024-01-25,AFC Asian Cup,Saudi Arabia,neutral,D,0,0,False
Australia,2024-01-28,AFC Asian Cup,Indonesia,neutral,W,4,0,False
DR Congo,2024-01-28,African Cup of Nations,Egypt,neutral,D,1,1,False
Egypt,2024-01-28,African Cup of Nations,DR Congo,neutral,D,1,1,False
Indonesia,2024-01-28,AFC Asian Cup,Australia,neutral,L,0,4,False
Cape Verde,2024-01-29,African Cup of Nations,Mauritania,neutral,W,1,0,False
Iraq,2024-01-29,AFC Asian Cup,Jordan,neutral,L,2,3,False
Ivory Coast,2024-01-29,African Cup of Nations,Senegal,home,D,1,1,False
Jordan,2024-01-29,AFC Asian Cup,Iraq,neutral,W,3,2,False
Mauritania,2024-01-29,African Cup of Nations,Cape Verde,neutral,L,0,1,False
Palestine,2024-01-29,AFC Asian Cup,Qatar,away,L,1,2,False
Qatar,2024-01-29,AFC Asian Cup,Palestine,home,W,2,1,False
Senegal,2024-01-29,African Cup of Nations,Ivory Coast,away,D,1,1,False
Morocco,2024-01-30,African Cup of Nations,South Africa,neutral,L,0,2,False
Saudi Arabia,2024-01-30,AFC Asian Cup,South Korea,neutral,D,1,1,False
South Africa,2024-01-30,African Cup of Nations,Morocco,neutral,W,2,0,False
South Korea,2024-01-30,AFC Asian Cup,Saudi Arabia,neutral,D,1,1,False
Thailand,2024-01-30,AFC Asian Cup,Uzbekistan,neutral,L,1,2,False
Uzbekistan,2024-01-30,AFC Asian Cup,Thailand,neutral,W,2,1,False
Bahrain,2024-01-31,AFC Asian Cup,Japan,neutral,L,1,3,False
Iran,2024-01-31,AFC Asian Cup,Syria,neutral,D,1,1,False
Japan,2024-01-31,AFC Asian Cup,Bahrain,neutral,W,3,1,False
Syria,2024-01-31,AFC Asian Cup,Iran,neutral,D,1,1,False
Australia,2024-02-02,AFC Asian Cup,South Korea,neutral,L,1,2,False
DR Congo,2024-02-02,African Cup of Nations,Guinea,neutral,W,3,1,False
Guinea,2024-02-02,African Cup of Nations,DR Congo,neutral,L,1,3,False
Jordan,2024-02-02,AFC Asian Cup,Tajikistan,neutral,W,1,0,False
South Korea,2024-02-02,AFC Asian Cup,Australia,neutral,W,2,1,False
Tajikistan,2024-02-02,AFC Asian Cup,Jordan,neutral,L,0,1,False
Cape Verde,2024-02-03,African Cup of Nations,South Africa,neutral,D,0,0,False
Iran,2024-02-03,AFC Asian Cup,Japan,neutral,W,2,1,False
Ivory Coast,2024-02-03,African Cup of Nations,Mali,home,W,2,1,False
Japan,2024-02-03,AFC Asian Cup,Iran,neutral,L,1,2,False
Mali,2024-02-03,African Cup of Nations,Ivory Coast,away,L,1,2,False
Qatar,2024-02-03,AFC Asian Cup,Uzbekistan,home,D,1,1,False
South Africa,2024-02-03,African Cup of Nations,Cape Verde,neutral,D,0,0,False
Uzbekistan,2024-02-03,AFC Asian Cup,Qatar,away,D,1,1,False
Jordan,2024-02-06,AFC Asian Cup,South Korea,neutral,W,2,0,False
South Korea,2024-02-06,AFC Asian Cup,Jordan,neutral,L,0,2,False
DR Congo,2024-02-07,African Cup of Nations,Ivory Coast,away,L,0,1,False
Iran,2024-02-07,AFC Asian Cup,Qatar,away,L,2,3,False
Ivory Coast,2024-02-07,African Cup of Nations,DR Congo,home,W,1,0,False
Nigeria,2024-02-07,African Cup of Nations,South Africa,neutral,D,1,1,False
Qatar,2024-02-07,AFC Asian Cup,Iran,home,W,3,2,False
South Africa,2024-02-07,African Cup of Nations,Nigeria,neutral,D,1,1,False
DR Congo,2024-02-10,African Cup of Nations,South Africa,neutral,D,0,0,False
Jordan,2024-02-10,AFC Asian Cup,Qatar,away,L,1,3,False
Qatar,2024-02-10,AFC Asian Cup,Jordan,home,W,3,1,False
South Africa,2024-02-10,African Cup of Nations,DR Congo,neutral,D,0,0,False
Ivory Coast,2024-02-11,African Cup of Nations,Nigeria,home,W,2,1,False
Nigeria,2024-02-11,African Cup of Nations,Ivory Coast,away,L,1,2,False
Andorra,2024-03-21,FIFA Series,South Africa,neutral,D,1,1,False
Australia,2024-03-21,FIFA World Cup qualification,Lebanon,home,W,2,0,False
Bosnia and Herzegovina,2024-03-21,UEFA Euro qualification,Ukraine,home,L,1,2,False
Cape Verde,2024-03-21,FIFA Series,Guyana,neutral,W,1,0,False
Ecuador,2024-03-21,Friendly,Guatemala,neutral,W,2,0,True
Guatemala,2024-03-21,Friendly,Ecuador,neutral,L,0,2,True
Guyana,2024-03-21,FIFA Series,Cape Verde,neutral,L,0,1,False
Hong Kong,2024-03-21,FIFA World Cup qualification,Uzbekistan,home,L,0,2,False
Iran,2024-03-21,FIFA World Cup qualification,Turkmenistan,home,W,5,0,False
Iraq,2024-03-21,FIFA World Cup qualification,Philippines,home,W,1,0,False
Jamaica,2024-03-21,CONCACAF Nations League,United States,away,L,1,3,False
Japan,2024-03-21,FIFA World Cup qualification,North Korea,home,W,1,0,False
Jordan,2024-03-21,FIFA World Cup qualification,Pakistan,away,W,3,0,False
Kuwait,2024-03-21,FIFA World Cup qualification,Qatar,away,L,0,3,False
Lebanon,2024-03-21,FIFA World Cup qualification,Australia,away,L,0,2,False
Mexico,2024-03-21,CONCACAF Nations League,Panama,neutral,W,3,0,False
North Korea,2024-03-21,FIFA World Cup qualification,Japan,away,L,0,1,False
Pakistan,2024-03-21,FIFA World Cup qualification,Jordan,home,L,0,3,False
Panama,2024-03-21,CONCACAF Nations League,Mexico,neutral,L,0,3,False
Philippines,2024-03-21,FIFA World Cup qualification,Iraq,away,L,0,1,False
Portugal,2024-03-21,Friendly,Sweden,home,W,5,2,True
Qatar,2024-03-21,FIFA World Cup qualification,Kuwait,home,W,3,0,False
Saudi Arabia,2024-03-21,FIFA World Cup qualification,Tajikistan,home,W,1,0,False
South Africa,2024-03-21,FIFA Series,Andorra,neutral,D,1,1,False
South Korea,2024-03-21,FIFA World Cup qualification,Thailand,home,D,1,1,False
Sweden,2024-03-21,Friendly,Portugal,away,L,2,5,True
Tajikistan,2024-03-21,FIFA World Cup qualification,Saudi Arabia,away,L,0,1,False
Thailand,2024-03-21,FIFA World Cup qualification,South Korea,away,D,1,1,False
Turkmenistan,2024-03-21,FIFA World Cup qualification,Iran,away,L,0,5,False
Ukraine,2024-03-21,UEFA Euro qualification,Bosnia and Herzegovina,away,W,2,1,False
United States,2024-03-21,CONCACAF Nations League,Jamaica,home,W,3,1,False
Uzbekistan,2024-03-21,FIFA World Cup qualification,Hong Kong,away,W,2,0,False
Algeria,2024-03-22,FIFA Series,Bolivia,home,W,3,2,False
Angola,2024-03-22,Friendly,Morocco,away,L,0,1,True
Argentina,2024-03-22,Friendly,El Salvador,neutral,W,3,0,True
Bolivia,2024-03-22,FIFA Series,Algeria,away,L,2,3,False
Colombia,2024-03-22,Friendly,Spain,neutral,W,1,0,True
Czechia,2024-03-22,Friendly,Norway,away,W,2,1,True
Egypt,2024-03-22,FIFA Series,New Zealand,home,W,1,0,False
El Salvador,2024-03-22,Friendly,Argentina,neutral,L,0,3,True
Gabon,2024-03-22,Friendly,Senegal,neutral,L,0,3,True
Ghana,2024-03-22,Friendly,Nigeria,neutral,L,1,2,True
Hungary,2024-03-22,Friendly,Turkey,home,W,1,0,True
Morocco,2024-03-22,Friendly,Angola,home,W,1,0,True
Netherlands,2024-03-22,Friendly,Scotland,home,W,4,0,True
New Zealand,2024-03-22,FIFA Series,Egypt,away,L,0,1,False
Nigeria,2024-03-22,Friendly,Ghana,neutral,W,2,1,True
Norway,2024-03-22,Friendly,Czechia,home,L,1,2,True
Scotland,2024-03-22,Friendly,Netherlands,away,L,0,4,True
Senegal,2024-03-22,Friendly,Gabon,neutral,W,3,0,True
Spain,2024-03-22,Friendly,Colombia,neutral,L,0,1,True
Turkey,2024-03-22,Friendly,Hungary,away,L,0,1,True
Austria,2024-03-23,Friendly,Slovakia,away,W,2,0,True
Belgium,2024-03-23,Friendly,Ireland,away,D,0,0,True
Benin,2024-03-23,Friendly,Ivory Coast,neutral,D,2,2,True
Brazil,2024-03-23,Friendly,England,away,W,1,0,True
Canada,2024-03-23,Copa América qualification,Trinidad and Tobago,neutral,W,2,0,False
Croatia,2024-03-23,FIFA Series,Tunisia,neutral,D,0,0,False
Denmark,2024-03-23,Friendly,Switzerland,home,D,0,0,True
England,2024-03-23,Friendly,Brazil,home,L,0,1,True
France,2024-03-23,Friendly,Germany,home,L,0,2,True
Germany,2024-03-23,Friendly,France,away,W,2,0,True
Ireland,2024-03-23,Friendly,Belgium,home,D,0,0,True
Ivory Coast,2024-03-23,Friendly,Benin,neutral,D,2,2,True
Slovakia,2024-03-23,Friendly,Austria,home,L,0,2,True
Switzerland,2024-03-23,Friendly,Denmark,away,D,0,0,True
Trinidad and Tobago,2024-03-23,Copa América qualification,Canada,neutral,L,0,2,False
Tunisia,2024-03-23,FIFA Series,Croatia,neutral,D,0,0,False
Ecuador,2024-03-24,Friendly,Italy,neutral,L,0,2,True
Italy,2024-03-24,Friendly,Ecuador,neutral,W,2,0,True
Jamaica,2024-03-24,CONCACAF Nations League,Panama,neutral,W,1,0,False
Mexico,2024-03-24,CONCACAF Nations League,United States,away,L,0,2,False
Panama,2024-03-24,CONCACAF Nations League,Jamaica,neutral,L,0,1,False
United States,2024-03-24,CONCACAF Nations League,Mexico,home,W,2,0,False
Albania,2024-03-25,Friendly,Sweden,away,L,0,1,True
Cape Verde,2024-03-25,FIFA Series,Equatorial Guinea,neutral,W,1,0,False
Equatorial Guinea,2024-03-25,FIFA Series,Cape Verde,neutral,L,0,1,False
Sweden,2024-03-25,Friendly,Albania,home,W,1,0,True
Algeria,2024-03-26,FIFA Series,South Africa,home,D,3,3,False
Argentina,2024-03-26,Friendly,Costa Rica,neutral,W,3,1,True
Armenia,2024-03-26,Friendly,Czechia,away,L,1,2,True
Australia,2024-03-26,FIFA World Cup qualification,Lebanon,home,W,5,0,False
Austria,2024-03-26,Friendly,Turkey,home,W,6,1,True
Belgium,2024-03-26,Friendly,England,away,D,2,2,True
Benin,2024-03-26,Friendly,Senegal,neutral,L,0,1,True
Brazil,2024-03-26,Friendly,Spain,away,D,3,3,True
Chile,2024-03-26,Friendly,France,away,L,2,3,True
Colombia,2024-03-26,Friendly,Romania,neutral,W,3,2,True
Costa Rica,2024-03-26,Friendly,Argentina,neutral,L,1,3,True
Croatia,2024-03-26,FIFA Series,Egypt,away,W,4,2,False
Czechia,2024-03-26,Friendly,Armenia,home,W,2,1,True
Egypt,2024-03-26,FIFA Series,Croatia,home,L,2,4,False
England,2024-03-26,Friendly,Belgium,home,D,2,2,True
France,2024-03-26,Friendly,Chile,home,W,3,2,True
Germany,2024-03-26,Friendly,Netherlands,home,W,2,1,True
Hong Kong,2024-03-26,FIFA World Cup qualification,Uzbekistan,away,L,0,3,False
Iran,2024-03-26,FIFA World Cup qualification,Turkmenistan,away,W,1,0,False
Iraq,2024-03-26,FIFA World Cup qualification,Philippines,away,W,5,0,False
Ireland,2024-03-26,Friendly,Switzerland,home,L,0,1,True
Ivory Coast,2024-03-26,Friendly,Uruguay,neutral,W,2,1,True
Jordan,2024-03-26,FIFA World Cup qualification,Pakistan,home,W,7,0,False
Kuwait,2024-03-26,FIFA World Cup qualification,Qatar,home,L,1,2,False
Lebanon,2024-03-26,FIFA World Cup qualification,Australia,away,L,0,5,False
Mauritania,2024-03-26,Friendly,Morocco,away,D,0,0,True
Morocco,2024-03-26,Friendly,Mauritania,home,D,0,0,True
Netherlands,2024-03-26,Friendly,Germany,away,L,1,2,True
New Zealand,2024-03-26,FIFA Series,Tunisia,neutral,D,0,0,False
Northern Ireland,2024-03-26,Friendly,Scotland,away,W,1,0,True
Norway,2024-03-26,Friendly,Slovakia,home,D,1,1,True
Pakistan,2024-03-26,FIFA World Cup qualification,Jordan,away,L,0,7,False
Philippines,2024-03-26,FIFA World Cup qualification,Iraq,home,L,0,5,False
Portugal,2024-03-26,Friendly,Slovenia,away,L,0,2,True
Qatar,2024-03-26,FIFA World Cup qualification,Kuwait,away,W,2,1,False
Romania,2024-03-26,Friendly,Colombia,neutral,L,2,3,True
Saudi Arabia,2024-03-26,FIFA World Cup qualification,Tajikistan,away,D,1,1,False
Scotland,2024-03-26,Friendly,Northern Ireland,home,L,0,1,True
Senegal,2024-03-26,Friendly,Benin,neutral,W,1,0,True
Slovakia,2024-03-26,Friendly,Norway,away,D,1,1,True
Slovenia,2024-03-26,Friendly,Portugal,home,W,2,0,True
South Africa,2024-03-26,FIFA Series,Algeria,away,D,3,3,False
South Korea,2024-03-26,FIFA World Cup qualification,Thailand,away,W,3,0,False
Spain,2024-03-26,Friendly,Brazil,home,D,3,3,True
Switzerland,2024-03-26,Friendly,Ireland,away,W,1,0,True
Tajikistan,2024-03-26,FIFA World Cup qualification,Saudi Arabia,home,D,1,1,False
Thailand,2024-03-26,FIFA World Cup qualification,South Korea,home,L,0,3,False
Tunisia,2024-03-26,FIFA Series,New Zealand,neutral,D,0,0,False
Turkey,2024-03-26,Friendly,Austria,away,L,1,6,True
Turkmenistan,2024-03-26,FIFA World Cup qualification,Iran,home,L,0,1,False
Uruguay,2024-03-26,Friendly,Ivory Coast,neutral,L,1,2,True
Uzbekistan,2024-03-26,FIFA World Cup qualification,Hong Kong,home,W,3,0,False
Basque Country,2024-05-21,Friendly,Uruguay,home,D,1,1,True
Galicia,2024-05-21,Friendly,Panama,home,L,0,2,True
Panama,2024-05-21,Friendly,Galicia,away,W,2,0,True
Uruguay,2024-05-21,Friendly,Basque Country,away,D,1,1,True
Bolivia,2024-05-31,Friendly,Mexico,neutral,L,0,1,True
Costa Rica,2024-05-31,Friendly,Uruguay,home,D,0,0,True
Mexico,2024-05-31,Friendly,Bolivia,neutral,W,1,0,True
Uruguay,2024-05-31,Friendly,Costa Rica,away,D,0,0,True
Bosnia and Herzegovina,2024-06-03,Friendly,England,away,L,0,3,True
Croatia,2024-06-03,Friendly,North Macedonia,home,W,3,0,True
England,2024-06-03,Friendly,Bosnia and Herzegovina,home,W,3,0,True
Germany,2024-06-03,Friendly,Ukraine,home,D,0,0,True
Gibraltar,2024-06-03,Friendly,Scotland,neutral,L,0,2,True
North Macedonia,2024-06-03,Friendly,Croatia,away,L,0,3,True
Scotland,2024-06-03,Friendly,Gibraltar,neutral,W,2,0,True
Ukraine,2024-06-03,Friendly,Germany,away,D,0,0,True
Austria,2024-06-04,Friendly,Serbia,home,W,2,1,True
Estonia,2024-06-04,Friendly,Switzerland,away,L,0,4,True
Finland,2024-06-04,Friendly,Portugal,away,L,2,4,True
Italy,2024-06-04,Friendly,Turkey,home,D,0,0,True
Portugal,2024-06-04,Friendly,Finland,home,W,4,2,True
Serbia,2024-06-04,Friendly,Austria,away,L,1,2,True
Switzerland,2024-06-04,Friendly,Estonia,home,W,4,0,True
Turkey,2024-06-04,Friendly,Italy,away,D,0,0,True
Andorra,2024-06-05,Friendly,Spain,away,L,0,5,True
Barbados,2024-06-05,FIFA World Cup qualification,Curacao,away,L,1,4,False
Belgium,2024-06-05,Friendly,Montenegro,home,W,2,0,True
Curacao,2024-06-05,FIFA World Cup qualification,Barbados,home,W,4,1,False
Denmark,2024-06-05,Friendly,Sweden,home,W,2,1,True
Equatorial Guinea,2024-06-05,FIFA World Cup qualification,Tunisia,away,L,0,1,False
France,2024-06-05,Friendly,Luxembourg,home,W,3,0,True
Kosovo,2024-06-05,Friendly,Norway,away,L,0,3,True
Luxembourg,2024-06-05,Friendly,France,away,L,0,3,True
Mexico,2024-06-05,Friendly,Uruguay,neutral,L,0,4,True
